rank,symbol,name,sector,idx,score,mom12_pct,upratio63_pct,amt20_musd,vol_cv,ret_1w_pct,ret_1m_pct,dd52w_pct,close,mktcap_busd,top10pct,n_universe,date
1,STX,Seagate Technology Holdings PLC - Ordina,Technology,SP500,2.94,481.4,60.3,4370.6,0.33,-12.7,-6.9,-22.3,850.0,225.46,1,3376,20260821
2,ATI,ATI Inc. Common Stock,Industrials,,2.805,180.1,60.3,297.3,0.48,-9.4,3.6,-10.7,207.01,29.41,1,3376,20260821
3,MPC,Marathon Petroleum Corporation Common St,Energy,SP500,2.794,90.9,60.3,660.2,0.37,1.5,15.5,-1.5,360.72,97.8,1,3376,20260821
4,WDC,Western Digital Corporation - Common Sto,Technology,SP500,2.771,640.1,55.6,3993.4,0.41,-9.7,-17.7,-38.4,459.44,178.89,1,3376,20260821
5,AMAT,Applied Materials  Inc. - Common Stock,Technology,SP500,2.749,252.2,55.6,3883.5,0.43,-2.9,-12.5,-31.9,492.32,393.94,1,3376,20260821
6,RVMD,Revolution Medicines  Inc. - Common Stoc,Healthcare,,2.749,422.0,57.1,321.4,0.61,2.8,11.0,-3.0,209.46,43.66,1,3376,20260821
7,MRVL,Marvell Technology  Inc. - Common Stock,Technology,SP500,2.738,194.5,55.6,4899.4,0.87,6.8,13.2,-25.1,237.04,194.84,1,3376,20260821
8,PSX,Phillips 66 Common Stock,Energy,SP500,2.735,71.5,60.3,486.5,0.32,4.0,17.3,-0.3,242.87,92.82,1,3376,20260821
9,NUE,Nucor Corporation Common Stock,Basic Materials,SP500,2.711,70.3,60.3,372.3,0.51,-9.4,1.0,-11.3,243.63,61.9,1,3376,20260821
10,MRK,Merck & Company  Inc. Common Stock (new),Healthcare,SP500,2.697,59.3,58.7,1194.7,0.5,12.3,16.9,0.0,152.55,327.94,1,3376,20260821
11,FBRX,Forte Biosciences  Inc.  - Common Stock,Healthcare,,2.694,407.7,57.1,208.1,1.92,0.1,28.8,-0.1,76.92,1.57,1,3376,20260821
12,FTI,TechnipFMC plc Ordinary Share,Energy,,2.693,119.3,58.7,221.5,1.19,-1.5,1.9,-3.0,77.45,27.3,1,3376,20260821
13,MRNA,Moderna  Inc. - Common Stock,Healthcare,SP500,2.688,112.0,55.6,3176.0,2.17,129.2,154.5,-16.8,145.13,25.42,1,3376,20260821
14,TWST,Twist Bioscience Corporation - Common St,Healthcare,,2.676,249.5,57.1,202.7,0.42,22.8,57.5,0.0,145.59,7.8,1,3376,20260821
15,JNJ,Johnson & Johnson Common Stock,Healthcare,SP500,2.658,48.6,58.7,1514.1,0.37,3.8,4.2,-1.2,270.24,626.09,1,3376,20260821
16,PBF,PBF Energy Inc. Class A Common Stock,Energy,,2.657,168.2,57.1,207.8,0.35,2.3,18.7,-2.2,73.53,8.81,1,3376,20260821
17,DELL,Dell Technologies Inc. Class C Common St,Technology,SP500,2.655,245.7,54.0,2418.8,0.7,-9.9,0.6,-10.6,442.08,285.65,1,3376,20260821
18,DAVE,Dave Inc.  - Class A Common Stock,Technology,,2.649,117.0,58.7,164.7,0.57,6.0,-13.2,-19.8,354.72,4.52,1,3376,20260821
19,ASX,ASE Technology Holding Co.  Ltd. America,Technology,,2.644,311.3,55.6,269.0,0.39,-7.7,-7.5,-18.3,36.51,92.85,1,3376,20260821
20,HL,Hecla Mining Company Common Stock,Basic Materials,,2.636,101.8,55.6,647.5,0.52,12.8,35.2,-34.8,20.72,11.79,1,3376,20260821
21,GH,Guardant Health  Inc. - Common Stock,Healthcare,,2.635,156.8,55.6,346.2,0.88,8.6,13.6,-0.0,170.69,22.61,1,3376,20260821
