rank,symbol,name,sector,mus_rank,rv63,dtc,ret_1w_pct,ret_1m_pct,close,settle,n_pool,date
1,MRVL,Marvell Technology  Inc. - Common Stock,Technology,7,0.0749,1.22,-2.9,-2.4,212.31,20260715,50,20260811
2,FBRX,Forte Biosciences  Inc.  - Common Stock,Healthcare,38,0.1206,1.72,0.4,74.2,76.87,20260715,50,20260811
3,DELL,Dell Technologies Inc. Class C Common St,Technology,6,0.0641,1.75,-5.6,3.2,440.97,20260715,50,20260811
4,ASX,ASE Technology Holding Co.  Ltd. America,Technology,39,0.0511,1.0,-0.1,-4.7,38.65,20260715,50,20260811
5,AMAT,Applied Materials  Inc. - Common Stock,Technology,3,0.0532,1.65,-3.8,-8.7,525.61,20260715,50,20260811
6,COHR,Coherent Corp. Common Stock,Technology,20,0.0665,1.99,1.5,6.9,328.57,20260715,50,20260811
7,STX,Seagate Technology Holdings PLC - Ordina,Technology,1,0.0512,1.7,-2.9,-4.7,820.52,20260715,50,20260811
8,MTRN,Materion Corporation,Basic Materials,32,0.0557,2.02,23.6,13.8,280.8,20260715,50,20260811
9,ASML,ASML Holding N.V. - New York Registry Sh,Technology,22,0.0364,1.0,5.1,4.2,1799.38,20260715,50,20260811
10,PANW,Palo Alto Networks  Inc. - Common Stock,Technology,8,0.0339,2.83,4.8,16.2,383.8,20260715,50,20260811
