model,excess,lo95,hi95,lob,hib,vs_spx,hit,turnover,excess_net,n_stocks,chain_cum,mdd,n
base(mus_v0 top50),1.275016916523107,-0.5381199896329723,2.9630195402769686,-1.3976897609650232,3.7105215853882583,0.728854141023715,0.6403508771929824,0.4416363636363636,1.186689643795834,50.0,66.73794005781126,-24.914603409690514,114
base top10,2.8655266874438543,0.13227131839972844,5.525794108061433,-1.0165514153216484,6.686091817967905,2.3193639119444627,0.6403508771929824,0.5390909090909091,2.7577085056256725,10.0,137.90084136899196,-31.888170268400295,114
emom(sue+mom+up),1.1606125676720722,-0.1926943317163843,2.4637885983478287,-0.8360908706794793,2.966038970197849,0.6144497921726804,0.6754385964912281,0.5136363636363637,1.0578852949447994,50.0,66.7804751495147,-23.824573306097125,114
qvm(bm+roa+mom),0.41142673729281903,-0.2621528398626781,1.105308147343277,-0.5368248025478277,1.4132393629946955,-0.1347360382065728,0.5701754385964912,0.3983636363636363,0.33175401002009175,50.0,39.14907702373731,-21.26307328253875,114
hi52(prox52+up+size),0.23635140304803046,-0.9968415414684063,1.483238686587626,-1.5945585774544797,1.9762936201667245,-0.3098113724513613,0.5789473684210527,0.6798181818181819,0.10038776668439409,50.0,34.9970818296284,-14.39071700681681,114
resmom(잔차mom+up+size),0.9452006986428347,-0.8104236785495432,2.6033136798056864,-1.6036250184526972,3.38680194838974,0.3990379231434429,0.631578947368421,0.44363636363636366,0.856473425915562,50.0,53.69026575037843,-23.444618630610112,114
insclu(임원클러스터 EW),1.0663398667495718,0.34480745132816937,1.8138393302010316,0.06270075268783695,2.151537613722304,0.4916500537319713,0.5964912280701754,0.3077778450353809,1.0047842977424957,62.80555555555556,58.64602268074417,-15.688328055392075,106
insclu∩>200MA,1.204297194691989,0.3933195424569025,2.0442771162881135,0.00819310661871311,2.391019136809351,0.6056180572230764,0.6052631578947368,0.43525198815214633,1.1172467970615596,28.401869158878505,56.164783749253374,-12.176022530293013,104
small(하위半 mom+up),0.35144300259615,-0.8725358766029624,1.5590280186834657,-1.4577376857316755,2.0705791579017796,-0.19471977290324177,0.6140350877192983,0.5967272727272728,0.23209754805069546,49.76315789473684,34.19867215967397,-20.66807782714058,114
indmom(상위업종 내 base),2.1780802227148364,-0.01003778439574677,4.242584868759366,-1.0365590343977396,5.1674006416793805,1.6562540445688707,0.6666666666666666,0.4522463029443485,2.0876309621259668,47.08849557522124,109.42748230126202,-24.83363780498685,113
qlv(roa+cfoy+저변동),-0.30394806514517353,-1.1865452484052312,0.6104999185925348,-1.5248779372265255,0.9752464006062432,-0.8501108406445653,0.4649122807017544,0.2805454545454546,-0.36005715605426447,50.0,16.859587266613918,-9.031136445164142,114
