model,control,d20,lo20,hi20,lob20,hib20,d60,lo60,hi60,overlap,n
base+rev_g(4항),base,0.6432868731452567,0.04396137845567773,1.2398724394867982,-0.21990426321420503,1.5237725910919708,1.5589393576902983,-0.6585263294035217,3.879672974141354,0.5500917431192661,109
base_cov(rev_g 보유만),base,0.09371207012466475,-0.24615514178296827,0.46050155343004356,-0.3937029561425454,0.6438051797996039,0.2012001222430633,-1.0290780889632767,1.7895387769598101,0.7680733944954127,109
base+rev_g(4항),base_cov(rev_g 보유만),0.5495748030205918,-0.010268884710308858,1.141980214848973,-0.2774124667940206,1.5082684874011898,1.3577392354472353,-0.5906959584798461,3.1542428532906035,0.6394495412844037,109
gm(rev_g+mom+up),base,0.5713802385714809,-0.10970142080010571,1.2486901960726182,-0.43510922522370593,1.5238102687138237,0.5991289037684107,-1.254846706300855,2.680354987118652,0.36146788990825685,109
gm(rev_g+mom+up),base_cov(rev_g 보유만),0.4776681684468163,-0.1733867159411995,1.1333504137148032,-0.41403688134836913,1.4085752374895617,0.3979287815253474,-1.0815374499709698,2.062350833771126,0.421467889908257,109
gate20(rev_g 상위20%→base50),base_cov(rev_g 보유만),0.5271884665331511,-0.34659005028789663,1.3975016191582788,-0.7226485096830275,1.8632827809304702,0.9400582198011947,-2.1631826034919137,3.9650025753956952,0.4275229357798166,109
gate30,base_cov(rev_g 보유만),0.4502242572835385,-0.010514858578888571,0.9732477560188453,-0.20601876277256756,1.2033134768768408,1.2023093587618285,-0.4311909238068147,2.7910219808909242,0.6093577981651375,109
gate50,base_cov(rev_g 보유만),-0.04215275565226771,-0.32797479524737383,0.24707632385130132,-0.4579204590069429,0.37573806677626675,-0.06378661549218623,-0.8839363865316898,0.7039497762258076,0.8034862385321101,109
gm_liq(상위半),base_liq(상위半),0.6101384072358367,-0.020950079703921203,1.2672630477242353,-0.2900742125863683,1.5332287789749048,1.12266215667926,-0.6708846909174278,3.111211785784911,0.42495412844036695,109
revg_only top50,base,-1.9063015616814039,-3.7115886437920227,-0.10877803035503263,-4.48527198547018,0.8327106508061546,-4.425744809256433,-11.209528223108155,1.9749837006324058,0.026238532110091747,109
gm top20,base top20,-0.2485583315149371,-1.4581717231740516,0.8732811855087886,-1.9338526520861823,1.335085730026998,-3.203848666221516,-5.570517869182253,-0.2900115386927485,0.30504587155963303,109
gm top30,base top30,0.21263558515349631,-0.8064759339772053,1.1653628758131558,-1.2181867592051436,1.6173368065433376,-0.9862675154186052,-2.9902515261307703,1.1735703117858507,0.3293577981651375,109
