rule,n앵커,평균수익%,vs기준%p,CI_lo,CI_hi,평균보유일,발동률
TP10,96,2.118,-0.292,-1.098,0.471,15.588,0.392
TP15,96,2.34,-0.071,-0.654,0.535,17.363,0.264
TP20,96,2.495,0.085,-0.379,0.563,18.346,0.18
TP30,96,2.607,0.197,-0.112,0.5,19.309,0.086
SL10,96,1.825,-0.585,-1.276,0.143,16.485,0.309
SL15,96,2.089,-0.321,-0.805,0.246,18.09,0.18
SL20,96,2.241,-0.169,-0.544,0.261,18.916,0.112
TR10,96,1.601,-0.809,-1.814,0.311,14.601,0.504
TR15,96,1.955,-0.455,-1.176,0.311,17.082,0.307
TP20_SL10,96,1.893,-0.517,-1.432,0.45,14.992,0.463
SPIKE10,96,2.314,-0.096,-0.681,0.437,17.895,0.192
RANK100_20,96,2.248,-0.162,-0.359,0.063,18.322,0.188
RANK300_20,96,2.328,-0.082,-0.159,-0.011,19.809,0.029
